fname,lname,sex,email,address,city,state,zip code,how did you hear about us?,preferred user
Mary,Soler,f ,Mary.R.Soler@pookmail.com,1 MAIN ST,ELFIN COVE,AK  ,99825,http://city-data.com,FALSE
Robbin,Dinsmore,f ,Robbin.J.Dinsmore@dodgit.com,100 MAIN ST,VENETIE,AK  ,99781,http://sky.com,FALSE
Mary,Shepard,f ,Mary.R.Shepard@trashymail.com,100 6TH AVE,KALTAG,AK  ,99748,http://usda.gov,TRUE
Joe,Dulac,m ,Joe.A.Dulac@pookmail.com,1 MAIN ST,ELIM,AK  ,99739,http://wsj.com,TRUE
Nicholas,Hunt,m ,Nicholas.S.Hunt@dodgit.com,100 AIRPORT WAY,TUNUNAK,AK  ,99681,http://peoplefinders.com,TRUE
Randall,Bilodeau,m ,Randall.M.Bilodeau@pookmail.com,100 MAIN ST,STEBBINS,AK  ,99671,http://thestar.com,TRUE
Jacqueline,Martone,f ,Jacqueline.F.Martone@pookmail.com,100 MAIN ST,SKWENTNA,AK  ,99667,http://aarp.org,FALSE
Michal,Mcgee,m ,Michal.S.Mcgee@mailinator.com,102 JOHNSON RD,SCAMMON BAY,AK  ,99662,http://instagram.com,FALSE
Charlie,Ditch,m ,Charlie.H.Ditch@pookmail.com,100 4TH ST,HOLY CROSS,AK  ,99602,http://prweb.com,TRUE
Evelyn,Keller,f ,Evelyn.W.Keller@pookmail.com,100 WYRORM RD,PRESCOTT,WA  ,99348,http://wsj.com,TRUE
Wanda,Washington,f ,Wanda.G.Washington@trashymail.com,1 WROPLE RD,ELTOPIA,WA  ,99330,http://fedex.com,FALSE
Barbara,Castillo,f ,Barbara.K.Castillo@spambob.com,1026 W BROADWAY AVE,SPOKANE,WA  ,99260,http://nationalgeographic.com,FALSE
Jose,Turner,m ,Jose.F.Turner@dodgit.com,101 W WYSTAT AVE,RITZVILLE,WA  ,99169,http://kayak.com,FALSE
Wendy,Davis,f ,Wendy.P.Davis@mailinator.com,100 AIRPORT RD,PULLMAN,WA  ,99164,http://bhg.com,FALSE
Imogene,Barnes,f ,Imogene.J.Barnes@mailinator.com,1 BARSTOW BRIDGE SPUR RD,KETTLE FALLS,WA  ,99141,http://progressive.com,TRUE
Justin,Spillman,m ,Justin.B.Spillman@pookmail.com,100AI N CHENNAULT AVE STE 131,FAIRCHILD AIR FORCE BASE,WA  ,99011,http://tagged.com,TRUE
Eddie,Gage,m ,Eddie.M.Gage@trashymail.com,1007 S CAMAS AVE,WAPATO,WA  ,98951,http://squidoo.com,TRUE
Thelma,Ambrose,f ,Thelma.D.Ambrose@mailinator.com,105 SELAH HEIGHTS RD,SELAH,WA  ,98942,http://intelius.com,FALSE
Ronald,Weber,m ,Ronald.B.Weber@mailinator.com,107AI S 7TH AVE STE 200,YAKIMA,WA  ,98902,http://twitter.com,FALSE
Brenda,Parks,f ,Brenda.V.Parks@mailinator.com,1 VALLEY VIEW PARK DR,OMAK,WA  ,98841,http://dell.com,TRUE
Bobbie,Vines,f ,Bobbie.F.Vines@mailinator.com,107 SCHAFER ST APT 4A,WENATCHEE,WA  ,98801,http://bankofamerica.com,TRUE
Shirley,Costigan,f ,Shirley.D.Costigan@trashymail.com,1 YADRAT RD,WHITE SALMON,WA  ,98672,http://nih.gov,FALSE
Shelley,Hamer,f ,Shelley.M.Hamer@mailinator.com,10051 SANDRIDGE RD,LONG BEACH,WA  ,98631,http://ap.org,FALSE
Kenneth,Reed,m ,Kenneth.M.Reed@spambob.com,10366 PACIFIC WAY,LONG BEACH,WA  ,98631,http://samsclub.com,TRUE
Brady,Napier,m ,Brady.C.Napier@mailinator.com,1054 CALIFORNIA AVE SW,LONG BEACH,WA  ,98631,http://microsoft.com,TRUE
Dorothy,Delavega,f ,Dorothy.M.Delavega@trashymail.com,101 WULRCO DR,KELSO,WA  ,98626,http://wiktionary.org,FALSE
Curtis,Garza,m ,Curtis.T.Garza@pookmail.com,100 WULKIE DR,KALAMA,WA  ,98625,http://wigetmedia.com,TRUE
Elisa,Barry,f ,Elisa.M.Barry@spambob.com,100 STUDEBAKER SPUR 1,CASTLE ROCK,WA  ,98611,http://irs.gov,TRUE
Martha,Ambrose,f ,Martha.J.Ambrose@pookmail.com,106-62 BAY RD,WINLOCK,WA  ,98596,http://minecraftforum.net,FALSE
Samantha,Smith,f ,Samantha.G.Smith@trashymail.com,1 E UNION RIDGE LOOP RD,UNION,WA  ,98592,http://fixya.com,FALSE
Donna,Griffiths,f ,Donna.J.Griffiths@trashymail.com,100 NAKANO LN,TOLEDO,WA  ,98591,http://cbc.ca,TRUE
Douglas,Walton,m ,Douglas.V.Walton@spambob.com,100 PINE TREE CV,TOLEDO,WA  ,98591,http://kotaku.com,FALSE
Basil,Mcelroy,m ,Basil.A.Mcelroy@dodgit.com,1 E XINDAS DR,SHELTON,WA  ,98584,http://goodreads.com,FALSE
Lisa,Sanchez,f ,Lisa.C.Sanchez@dodgit.com,1000 STATE ROUTE 6,RAYMOND,WA  ,98577,http://aa.com,FALSE
Joseph,Steinberg,m ,Joseph.S.Steinberg@mailinator.com,100 WYMDAR DR,ONALASKA,WA  ,98570,http://city-data.com,FALSE
Rosemary,Cline,f ,Rosemary.T.Cline@trashymail.com,1 MALONE HILL BRANCH RD,ELMA,WA  ,98541,http://blogspot.ca,TRUE
Dora,Buchanan,f ,Dora.G.Buchanan@mailinator.com,1 WROONY DR,ELMA,WA  ,98541,http://hulu.com,TRUE
Jesus,Curnutt,m ,Jesus.A.Curnutt@pookmail.com,100 WRIBIC LN,CHEHALIS,WA  ,98532,http://systweak.com,FALSE
Jeremy,Germain,m ,Jeremy.M.Germain@spambob.com,1 JOHNS RIVER BRANCH RD,ABERDEEN,WA  ,98520,http://ebay.ca,FALSE
Loren,Sanders,m ,Loren.A.Sanders@mailinator.com,107 ENGINEER DR RM ACF,CAMP MURRAY,WA  ,98430,http://liveleak.com,FALSE
Martin,Sullivan,m ,Martin.L.Sullivan@trashymail.com,1097 271ST ST E,SPANAWAY,WA  ,98387,http://xhamsterhq.com,TRUE
Charles,Soto,m ,Charles.J.Soto@trashymail.com,10199 BRWNSVILLE HWY NE,POULSBO,WA  ,98370,http://kmart.com,TRUE
Bruce,Cahill,m ,Bruce.M.Cahill@spambob.com,10565 OGLE RD NE,POULSBO,WA  ,98370,http://wikihow.com,FALSE
Ramiro,Snell,m ,Ramiro.K.Snell@pookmail.com,108 NE TORVAL CANYON RD,POULSBO,WA  ,98370,http://rr.com,FALSE
Floyd,Parker,m ,Floyd.D.Parker@pookmail.com,1 WYRBET LN,PORT LUDLOW,WA  ,98365,http://intuit.com,TRUE
Brett,Mendez,m ,Brett.A.Mendez@dodgit.com,1039 S B ST,PORT ANGELES,WA  ,98363,http://tagged.com,TRUE
Nelson,Thompson,m ,Nelson.A.Thompson@pookmail.com,101 E OLD MILL MOUNTAIN RD,PORT ANGELES,WA  ,98362,http://pbs.org,TRUE
Rosaura,Santee,f ,Rosaura.E.Santee@spambob.com,1065 YEW BOULEVARD KP N,LAKEBAY,WA  ,98349,http://imgur.com,FALSE
Margret,Hall,f ,Margret.E.Hall@pookmail.com,100 ACORN ST,BREMERTON,WA  ,98314,http://ebayclassifieds.com,TRUE
Shannon,Regalado,f ,Shannon.J.Regalado@pookmail.com,100 AVENUE F,SNOHOMISH,WA  ,98290,http://symantec.com,FALSE
Tana,Ruiz,f ,Tana.D.Ruiz@trashymail.com,1 101ST AVE NE,LAKE STEVENS,WA  ,98258,http://theblaze.com,FALSE
Derrick,Greenwood,m ,Derrick.E.Greenwood@spambob.com,10018 5TH PL SE APT B1,LAKE STEVENS,WA  ,98258,http://sparkpeople.com,FALSE
Bonnie,Wren,f ,Bonnie.J.Wren@mailinator.com,10116 5TH PL SE,LAKE STEVENS,WA  ,98258,http://smh.com.au,TRUE
Jessica,Rush,f ,Jessica.T.Rush@trashymail.com,10703 18TH ST SE,LAKE STEVENS,WA  ,98258,http://drudgereport.com,TRUE
Margaret,Turney,f ,Margaret.R.Turney@dodgit.com,10100 54TH CV NE,EVERETT,WA  ,98205,http://medicinenet.com,FALSE
Lori,Gonzales,f ,Lori.J.Gonzales@mailinator.com,10107 3RD LN SE,EVERETT,WA  ,98205,http://ndtv.com,TRUE
Prudence,Aguirre,f ,Prudence.J.Aguirre@mailinator.com,10116 5TH CIR SE,EVERETT,WA  ,98205,http://2shared.com,FALSE
Neal,Baker,m ,Neal.E.Baker@pookmail.com,10206 5TH PLZ SE,EVERETT,WA  ,98205,http://cheapoair.com,FALSE
Kevin,Bacon,m ,Kevin.M.Bacon@mailinator.com,10300 CHAPEL HILL ST,EVERETT,WA  ,98205,http://usda.gov,TRUE
Mary,Mazzeo,f ,Mary.S.Mazzeo@mailinator.com,10400 54TH BLVD NE,EVERETT,WA  ,98205,http://zbiddy.com,TRUE
Joseph,Ruble,m ,Joseph.K.Ruble@spambob.com,10532 18TH PLZ SE,EVERETT,WA  ,98205,http://stylebistro.com,TRUE
Donna,Turner,f ,Donna.T.Turner@trashymail.com,10600 54TH CV NE,EVERETT,WA  ,98205,http://tv.com,TRUE
Ramon,Lewis,m ,Ramon.E.Lewis@trashymail.com,10606 18TH AVE SE,EVERETT,WA  ,98205,http://kmart.com,TRUE
Justine,Ferguson,f ,Justine.J.Ferguson@dodgit.com,1 101ST LN NE,EVERETT,WA  ,98205,http://brothersoft.com,TRUE
Irma,Schindler,f ,Irma.A.Schindler@mailinator.com,10000 LAKEMONT DR,EVERETT,WA  ,98205,http://tomshardware.com,FALSE
Alexander,Daniels,m ,Alexander.M.Daniels@spambob.com,1000 98TH ST SE,EVERETT,WA  ,98205,http://blogspot.ca,TRUE
Laura,Pak,f ,Laura.F.Pak@trashymail.com,10018 5TH AVE SE APT B1,EVERETT,WA  ,98205,http://kmart.com,TRUE
Troy,Palmer,m ,Troy.A.Palmer@mailinator.com,1002 96TH LN SE,EVERETT,WA  ,98205,http://samsclub.com,TRUE
Michael,Padilla,m ,Michael.C.Padilla@mailinator.com,101 103RD PLZ NE,EVERETT,WA  ,98205,http://rr.com,FALSE
Michael,Griffin,m ,Michael.L.Griffin@spambob.com,10094 RAINIER AVE S,SEATTLE,WA  ,98178,http://scribd.com,FALSE
Benjamin,Samaniego,m ,Benjamin.M.Samaniego@dodgit.com,10005 55TH AVE S,SEATTLE,WA  ,98178,http://nytimes.com,TRUE
James,Jones,m ,James.G.Jones@mailinator.com,10211 65TH AVE S,SEATTLE,WA  ,98178,http://kickstarter.com,FALSE
Idell,Wofford,f ,Idell.J.Wofford@spambob.com,10409 CRESTWOOD DR S,SEATTLE,WA  ,98178,http://reverso.net,TRUE
Michael,Lipscomb,m ,Michael.E.Lipscomb@trashymail.com,10435 CRESTWOOD DR S,SEATTLE,WA  ,98178,http://scribd.com,FALSE
Erica,Moore,f ,Erica.R.Moore@spambob.com,10499 M L KING JR WAY,SEATTLE,WA  ,98178,http://bankofamerica.com,TRUE
Thomas,Humphreys,m ,Thomas.K.Humphreys@trashymail.com,10288 66TH AVE S,SEATTLE,WA  ,98178,http://yandex.ru,TRUE
Chester,Farrow,m ,Chester.M.Farrow@mailinator.com,10447 RAINIER AVE S,SEATTLE,WA  ,98178,http://microsoft.com,TRUE
Marie,Donmoyer,f ,Marie.J.Donmoyer@dodgit.com,10637 CORNELL AVE S,SEATTLE,WA  ,98178,http://babycenter.com,TRUE
Ronald,James,m ,Ronald.E.James@pookmail.com,10641 DIXON DR S,SEATTLE,WA  ,98178,http://staples.com,TRUE
Denis,Peachey,m ,Denis.M.Peachey@mailinator.com,10667 RUSTIC RD S,SEATTLE,WA  ,98178,http://sony.com,FALSE
Yvonne,Jones,f ,Yvonne.F.Jones@dodgit.com,10608 WOODLEY AVE S,SEATTLE,WA  ,98178,http://iminent.com,TRUE
Walter,Collins,m ,Walter.M.Collins@trashymail.com,10468 WATERS AVE S,SEATTLE,WA  ,98178,http://moviefone.com,TRUE
George,Cunningham,m ,George.E.Cunningham@mailinator.com,10748 56TH AVE S,SEATTLE,WA  ,98178,http://bizjournals.com,FALSE
Kathy,Benjamin,f ,Kathy.R.Benjamin@mailinator.com,10715 CORNELL AVE S,SEATTLE,WA  ,98178,http://legacy.com,FALSE
Elizabeth,Okeefe,f ,Elizabeth.S.Okeefe@dodgit.com,10812 CORNELL AVE S,SEATTLE,WA  ,98178,http://delta.com,FALSE
Daniel,Lindley,m ,Daniel.K.Lindley@spambob.com,10980 RAINIER AVE S,SEATTLE,WA  ,98178,http://shopstyle.com,TRUE
Marjory,Robinson,f ,Marjory.J.Robinson@trashymail.com,11791 87TH AVE S,SEATTLE,WA  ,98178,http://comcast.com,TRUE
Marie,Taylor,f ,Marie.M.Taylor@dodgit.com,10324 MARY AVE NW,SEATTLE,WA  ,98177,http://scribd.com,FALSE
Juana,Flynn,f ,Juana.D.Flynn@pookmail.com,10201 RADFORD AVE NW,SEATTLE,WA  ,98177,http://minecraftwiki.net,FALSE
Franklin,Gregory,m ,Franklin.H.Gregory@trashymail.com,10399 BEDFORD CT NW,SEATTLE,WA  ,98177,http://homedepot.com,TRUE
Wendy,Thibodaux,f ,Wendy.C.Thibodaux@dodgit.com,10814 VALMAY AVE NW,SEATTLE,WA  ,98177,http://zbiddy.com,TRUE
Brenda,Clark,f ,Brenda.M.Clark@trashymail.com,1085 NW 177TH PL,SHORELINE,WA  ,98177,http://microsoft.com,TRUE
Joshua,Sander,m ,Joshua.E.Sander@spambob.com,10041 RICHWOOD AVE NW,SEATTLE,WA  ,98177,http://nationalgeographic.com,FALSE
Jose,Baehr,m ,Jose.N.Baehr@pookmail.com,1031 N 129TH ST,BURIEN,WA  ,98168,http://twitter.com,FALSE
Kristen,Simpson,f ,Kristen.F.Simpson@mailinator.com,1039 S 138TH ST,BURIEN,WA  ,98168,http://zillow.com,FALSE
Constance,Pena,f ,Constance.D.Pena@pookmail.com,10457 9TH AVE S,SEATTLE,WA  ,98168,http://timeanddate.com,TRUE
Larry,Deskins,m ,Larry.J.Deskins@spambob.com,12059 26TH AVE S,SEATTLE,WA  ,98168,http://aarp.org,FALSE
Charlie,Stephenson,m ,Charlie.M.Stephenson@dodgit.com,1035 S 156TH WAY,SEATAC,WA  ,98148,http://tigerdirect.com,TRUE
Michael,Baily,m ,Michael.D.Baily@dodgit.com,105 S 177TH PL,SEATTLE,WA  ,98148,http://toshiba.com,TRUE
