fname,lname,sex,email,address,city,state,zip code,how did you hear about us?,preferred user
Erica,Brundidge,f ,Erica.E.Brundidge@pookmail.com,1 MESSALONSKEE RD,LONG ISLAND,ME  ,4050,http://kickstarter.com,FALSE
Raymond,Moore,m ,Raymond.D.Moore@trashymail.com,1 CALTHROPE RD,MARBLEHEAD,MA  ,1945,http://clubpenguin.com,FALSE
Brenda,Stansbury,f ,Brenda.B.Stansbury@trashymail.com,100 KINGS RD,FIVE POINTS,AL  ,35150,http://eonline.com,FALSE
Michael,Lewis,m ,Michael.C.Lewis@trashymail.com,1 FAIRWAY CT,ALBANY,NY  ,12208,http://att.com,TRUE
Virginia,Miller,f ,Virginia.J.Miller@spambob.com,1 WINDCREST LN,MILLIS,MA  ,2054,http://aol.com,TRUE
Junior,Hamilton,m ,Junior.P.Hamilton@spambob.com,1 HOUSE OF REPRESENTATIV,HARRISBURG,PA  ,17120,http://networksolutions.com,FALSE
Deana,Jeanpierre,f ,Deana.M.Jeanpierre@dodgit.com,100 TERRACE LN APT 230,SCRANTON,PA  ,18508,http://expedia.com,FALSE
Michelle,Ziegler,f ,Michelle.A.Ziegler@dodgit.com,1 RIVERSIDE PL,GALES FERRY,CT  ,6335,http://hgtv.com,FALSE
Charles,Campos,m ,Charles.T.Campos@mailinator.com,100 CAPITAL TOWERS,JACKSON,MS  ,39201,http://avast.com,FALSE
Jason,Clem,m ,Jason.D.Clem@spambob.com,1 CLARKS LANDING LOOP RD,ROCKY POINT,NC  ,28457,http://2shared.com,FALSE
Lillie,Steele,f ,Lillie.R.Steele@mailinator.com,100 GREAT LAKE CIR,MORRISVILLE,NC  ,27560,http://dogpile.com,TRUE
Janice,Jones,f ,Janice.R.Jones@trashymail.com,1 N MAIN ST,EAST HAMPTON,CT  ,6424,http://nextag.com,FALSE
Marcella,Delfino,f ,Marcella.M.Delfino@spambob.com,1 OHENSE,MONCURE,NC  ,27559,http://edmunds.com,FALSE
Jimmy,Lin,m ,Jimmy.P.Lin@dodgit.com,100 OLD MILL CREEK RD,FRANKLIN,NC  ,28734,http://zulily.com,TRUE
Gregory,Smith,m ,Gregory.P.Smith@dodgit.com,1 HALE ST,HYDE PARK,MA  ,2136,http://mayoclinic.com,TRUE
Patricia,Zalewski,f ,Patricia.A.Zalewski@mailinator.com,1 CALLE AMBAR,ISABELA,PR  ,662,http://docstoc.com,TRUE
Carla,Port,f ,Carla.T.Port@pookmail.com,100 BROWN LN,SELMA,AL  ,36701,http://lifehacker.com,TRUE
Christopher,Kuster,m ,Christopher.C.Kuster@mailinator.com,1 E AVENUE B,MELBOURNE,FL  ,32901,http://imesh.com,TRUE
Charles,Behne,m ,Charles.M.Behne@trashymail.com,100 3RD ST,PRINSBURG,MN  ,56281,http://howtogeek.com,TRUE
Michele,Mckee,f ,Michele.M.Mckee@spambob.com,1 ABBY DR,TRYON,NE  ,69167,http://state.gov,TRUE
William,Smith,m ,William.L.Smith@trashymail.com,1001 MCKINNEY ST STE 2100,HOUSTON,TX  ,77002,http://docstoc.com,TRUE
Nancy,Rose,f ,Nancy.R.Rose@mailinator.com,101 S COIT RD STE 36,RICHARDSON,TX  ,75080,http://2shared.com,FALSE
James,Jones,m ,James.G.Jones@mailinator.com,10211 65TH AVE S,SEATTLE,WA  ,98178,http://kickstarter.com,FALSE
Genevieve,Bennett,f ,Genevieve.J.Bennett@spambob.com,10660 WIREWAY DR STE 200,DALLAS,TX  ,75220,http://hgtv.com,FALSE
Jamie,Hymes,f ,Jamie.T.Hymes@spambob.com,11 ARMORY ST APT 4R,SPRINGFIELD,MA  ,1105,http://eonline.com,FALSE
Ena,Wang,f ,Ena.A.Wang@trashymail.com,10499 SYLVESTER PLETCH RD NW,CROOKSVILLE,OH  ,43731,http://att.com,TRUE
William,Mason,m ,William.M.Mason@pookmail.com,10341 61ST ST NE,LAWTON,ND  ,58345,http://imesh.com,TRUE
Donald,Kennedy,m ,Donald.D.Kennedy@trashymail.com,1077AX CLARKSON AVE STE 1,BROOKLYN,NY  ,11212,http://howtogeek.com,TRUE
Julian,Johnson,m ,Julian.C.Johnson@pookmail.com,10524 WENZEL AVE,KANSAS CITY,MO  ,64137,http://lifehacker.com,TRUE
Antonio,Sifford,m ,Antonio.R.Sifford@spambob.com,106 PARK AVE APT 1,HOBOKEN,NJ  ,7030,http://edmunds.com,FALSE
Aaron,Cantu,m ,Aaron.J.Cantu@dodgit.com,1073 W AVENUE E,GARLAND,TX  ,75040,http://dogpile.com,TRUE
Theresa,Estrada,f ,Theresa.H.Estrada@pookmail.com,101 BLUEBIRD LN,DIXONS MILLS,AL  ,36736,http://state.gov,TRUE
Mary,Fierro,f ,Mary.M.Fierro@mailinator.com,101 OAKS DR,BIRMINGHAM,AL  ,35209,http://clubpenguin.com,FALSE
Matthew,New,m ,Matthew.K.New@pookmail.com,11 LAKE RD,IRVINE,CA  ,92614,http://avast.com,FALSE
Sarita,Nottingham,f ,Sarita.D.Nottingham@dodgit.com,10240 DOUGLAS OAKS CIR APT AF-101,TAMPA,FL  ,33610,http://nextag.com,FALSE
Cristina,Nichols,f ,Cristina.K.Nichols@dodgit.com,1003 MAIN ST,NOMA,FL  ,32452,http://lego.com,TRUE
Roberto,Perkins,m ,Roberto.J.Perkins@pookmail.com,1094 5TH AVE SE,MIAMI,OK  ,74354,http://zulily.com,TRUE
Edward,Hagen,m ,Edward.S.Hagen@spambob.com,102 STATE ROUTE 76,TIFF CITY,MO  ,64868,http://mayoclinic.com,TRUE
Martin,Cruz,m ,Martin.L.Cruz@trashymail.com,1045 E THORNTON ST,TYLER,TX  ,75702,http://aol.com,TRUE
Thomas,Cox,m ,Thomas.L.Cox@spambob.com,10102B N LOOP DR,SOCORRO,TX  ,79927,http://networksolutions.com,FALSE
Robert,Whitley,m ,Robert.C.Whitley@dodgit.com,114 EASTWOOD ST APT 310,HOUSTON,TX  ,77011,http://expedia.com,FALSE
Albert,Nusbaum,m ,Albert.L.Nusbaum@trashymail.com,111 UNIVERSITY OF COLORADO,BOULDER,CO  ,80309,http://lego.com,TRUE
Geraldine,Wright,f ,Geraldine.D.Wright@trashymail.com,114 EASTWOOD ST APT 114,HOUSTON,TX  ,77011,http://mapquest.com,TRUE
Thelma,Hudson,f ,Thelma.R.Hudson@dodgit.com,111 UNION AVE # 9482 # 1543,LONG BRANCH,NJ  ,7740,http://blog.com,FALSE
Joseph,Phillips,m ,Joseph.P.Phillips@trashymail.com,100 CANTERBURY CT,HIGHTSTOWN,NJ  ,8520,http://mlb.com,TRUE
Susan,White,f ,Susan.M.White@trashymail.com,1 N LANE 1,GRANVILLE,MA  ,1034,http://cbc.ca,TRUE
Tanya,Genovese,f ,Tanya.H.Genovese@dodgit.com,100 3RD ST,FENNVILLE,MI  ,49408,http://roblox.com,FALSE
Angie,Leslie,f ,Angie.R.Leslie@trashymail.com,1 E AVENUE A,MELBOURNE,FL  ,32901,http://amazon.co.uk,FALSE
Jason,Gaines,m ,Jason.F.Gaines@dodgit.com,100 TEFEOK CT,MURFREESBORO,TN  ,37128,http://mapquest.com,TRUE
Gilbert,Copeland,m ,Gilbert.B.Copeland@mailinator.com,1 RIVERSIDE LOOP RD,MASSIES MILL,VA  ,22967,http://costco.com,TRUE
Michael,Brady,m ,Michael.G.Brady@mailinator.com,1 HOTCHKISS ST,WATERBURY,CT  ,6704,http://change.org,TRUE
Solomon,Ramsey,m ,Solomon.C.Ramsey@mailinator.com,1 CALLE AMBAR,DORADO,PR  ,646,http://twitpic.com,FALSE
Lynda,Gilroy,f ,Lynda.J.Gilroy@mailinator.com,1 FAIRHAVEN DR,MORRIS PLAINS,NJ  ,7950,http://webmd.com,FALSE
Jerry,Darrow,m ,Jerry.P.Darrow@pookmail.com,100 KINGS RD,FALKVILLE,AL  ,35150,http://walgreens.com,TRUE
Jordan,Fujimoto,m ,Jordan.K.Fujimoto@mailinator.com,100 BROWN DR,LINEVILLE,AL  ,36266,http://microsoftstore.com,FALSE
Daniel,Papineau,m ,Daniel.C.Papineau@dodgit.com,1 CALLEJON ROSARIO,MANATI,PR  ,674,http://playstation.com,TRUE
Frances,Atkins,f ,Frances.H.Atkins@trashymail.com,1 CLARKS DR,RAGLAND,AL  ,35131,http://king.com,TRUE
Jeremiah,Oneill,m ,Jeremiah.K.Oneill@dodgit.com,1 WINCHESTER TER,JAMAICA PLAIN,MA  ,2130,http://tumblr.com,FALSE
Gail,Lawlor,f ,Gail.J.Lawlor@mailinator.com,100 OLALEK RD,PURLEAR,NC  ,28665,http://ning.com,FALSE
Donald,Schendel,m ,Donald.C.Schendel@spambob.com,1 HAINGS ST,MILTONVALE,KS  ,67466,http://instructables.com,FALSE
Rita,Selby,f ,Rita.J.Selby@spambob.com,1 OHAJUN DR,MARION,NC  ,28752,http://t-mobile.com,TRUE
Frederick,Hodgin,m ,Frederick.B.Hodgin@trashymail.com,1 MENTOL AVE,WANAQUE,NJ  ,7465,http://partypoker.com,TRUE
Steven,Vela,m ,Steven.C.Vela@trashymail.com,100 GRANT AVE,TOTOWA,NJ  ,7512,http://usagc.org,FALSE
Joseph,Campbell,m ,Joseph.C.Campbell@trashymail.com,1 ABBINGTON LN,SEWELL,NJ  ,8080,http://drugs.com,FALSE
Bernice,Finch,f ,Bernice.J.Finch@trashymail.com,1010 MONOCACY CREEK RD N,DOUGLASSVILLE,PA  ,19518,http://drugs.com,FALSE
Stacey,Fox,f ,Stacey.R.Fox@pookmail.com,1034 UNION AVE NE,GRAND RAPIDS,MI  ,49503,http://amazon.co.uk,FALSE
Damon,Monday,m ,Damon.L.Monday@spambob.com,10779 N GILMORE RD,FARWELL,MI  ,48622,http://roblox.com,FALSE
Ricky,Wenger,m ,Ricky.R.Wenger@spambob.com,10524 S BEYER RD,BIRCH RUN,MI  ,48415,http://microsoftstore.com,FALSE
Beverly,Sharp,f ,Beverly.A.Sharp@dodgit.com,1073 US 27,CLEWISTON,FL  ,33440,http://usagc.org,FALSE
Janice,Beekman,f ,Janice.E.Beekman@dodgit.com,101 OAKS DR,AUTAUGAVILLE,AL  ,35201,http://playstation.com,TRUE
Deborah,Parker,f ,Deborah.R.Parker@spambob.com,1094 16TH AVE,JACKSONVILLE BEACH,FL  ,32250,http://ning.com,FALSE
Alex,Garcia,m ,Alex.R.Garcia@spambob.com,10102 CAHABA DR SW,HUNTSVILLE,AL  ,35803,http://change.org,TRUE
Joseph,Goldsberry,m ,Joseph.S.Goldsberry@trashymail.com,1001 MARSHALL ST STE 400,REDWOOD CITY,CA  ,94063,http://twitpic.com,FALSE
Beverly,Landry,f ,Beverly.C.Landry@pookmail.com,11 ARMORY ST APT 3R,SPRINGFIELD,MA  ,1105,http://walgreens.com,TRUE
Stacey,Sanderson,f ,Stacey.L.Sanderson@trashymail.com,1024 WILLOW AVE APT 5,HOBOKEN,NJ  ,7030,http://cbc.ca,TRUE
Victor,Moreno,m ,Victor.S.Moreno@pookmail.com,1003 HUTCHINSON ST N,WHITE HALL,AR  ,71602,http://blog.com,FALSE
Raymond,Goebel,m ,Raymond.V.Goebel@spambob.com,11 LAKE DR,ATCO,NJ  ,8004,http://mlb.com,TRUE
Betty,Trojan,f ,Betty.N.Trojan@dodgit.com,101 S BROADWAY,LA SALLE,MN  ,56056,http://king.com,TRUE
Joyce,Mcneal,f ,Joyce.T.Mcneal@dodgit.com,10210 N 25TH AVE STE 1342 # 8020,PHOENIX,AZ  ,85021,http://partypoker.com,TRUE
Anita,Williams,f ,Anita.N.Williams@pookmail.com,102 STATE ROAD 50,COOLIDGE,KS  ,67836,http://instructables.com,FALSE
Mary,Mcintosh,f ,Mary.C.Mcintosh@mailinator.com,10660 PLANO RD STE 122,DALLAS,TX  ,75238,http://costco.com,TRUE
Jonathan,Bledsoe,m ,Jonathan.C.Bledsoe@dodgit.com,106 OAK RIDGE RD,PLEASANTVILLE,NY  ,10570,http://t-mobile.com,TRUE
Glenn,Harder,m ,Glenn.A.Harder@mailinator.com,10499 SUPERFRTRESS AVE,MATHER,CA  ,95655,http://webmd.com,FALSE
Brian,Neil,m ,Brian.N.Neil@dodgit.com,1045 CHRISTMAS VILLAGE RD,BERNVILLE,PA  ,19506,http://tumblr.com,FALSE
Silvia,Bortz,f ,Silvia.R.Bortz@pookmail.com,10939 LOWER TRAIL RD NW,DUNDEE,OH  ,44624,http://webstatsdomain.com,TRUE
William,Wold,m ,William.J.Wold@dodgit.com,10660 HIGHWAY 13,LAMOURE,ND  ,58458,http://coolmath-games.com,FALSE
Barry,Fritz,m ,Barry.T.Fritz@trashymail.com,102 STATE HIGHWAY 30 PMB 6893,NORTHVILLE,NY  ,12134,http://southwest.com,TRUE
Margaret,Martinez,f ,Margaret.A.Martinez@pookmail.com,11 KOSTER BLVD APT 3A,EDISON,NJ  ,8837,http://howstuffworks.com,FALSE
Sylvia,Cope,f ,Sylvia.H.Cope@trashymail.com,1001 MARKET ST STE 51,PHILADELPHIA,PA  ,19107,http://discovery.com,TRUE
Gilbert,Ball,m ,Gilbert.E.Ball@mailinator.com,10779 HERNWOOD RD,WOODSTOCK,MD  ,21163,http://comedycentral.com,TRUE
Alan,Edmondson,m ,Alan.G.Edmondson@spambob.com,1003 FOREST DR,HAMMONTON,NJ  ,8037,http://microsofttranslator.com,TRUE
