fname,lname,sex,email,address,city,state,zip code,how did you hear about us?,preferred user
Richard,Worsham,m ,Richard.E.Worsham@mailinator.com,100 BRANTWOOD AVE,CENTERVILLE,GA  ,31028,http://utexas.edu,FALSE
John,Arline,m ,John.L.Arline@pookmail.com,1 CALLE VICTORIA B INT,LAJAS,PR  ,667,http://kat.ph,TRUE
Catherine,Snyder,f ,Catherine.A.Snyder@spambob.com,1 A AND K DR,METROPOLIS,IL  ,62960,http://kbb.com,FALSE
Donald,Haggard,m ,Donald.V.Haggard@pookmail.com,1 WILLOWBROOK LN,WORCESTER,MA  ,1609,http://live.com,FALSE
Ada,Gregory,f ,Ada.F.Gregory@pookmail.com,1 CHURCH RD,RYE BEACH,NH  ,3871,http://wikispaces.com,TRUE
Denise,Yale,f ,Denise.C.Yale@pookmail.com,1 CALLE A RAMIREZ SILVA,MAYAGUEZ,PR  ,680,http://latimes.com,FALSE
Edith,Bromberg,f ,Edith.N.Bromberg@dodgit.com,100 KINGS CT,ELMORE,AL  ,36361,http://ezinearticles.com,TRUE
Millard,Wright,m ,Millard.S.Wright@trashymail.com,1 N BROADWAY STE 400,WHITE PLAINS,NY  ,10601,http://gamespot.com,TRUE
Natalie,Snyder,f ,Natalie.J.Snyder@mailinator.com,1 DRAGONFLY DR,HOLDEN,ME  ,4429,http://dailymail.co.uk,FALSE
Mavis,Rivera,f ,Mavis.C.Rivera@spambob.com,1 MEADOWVIEW CT,CANTON,CT  ,6019,http://thepiratebay.se,TRUE
Marcella,Joslin,f ,Marcella.E.Joslin@pookmail.com,1 HOLTS RD,LINDEN,AL  ,36748,http://ford.com,TRUE
Lorenzo,Deloach,m ,Lorenzo.C.Deloach@mailinator.com,10 DUNKIRK ST SE,GRAND RAPIDS,MI  ,49548,http://verizon.com,TRUE
Richard,Williams,m ,Richard.M.Williams@trashymail.com,1 RIVERBEND DR,NORTH WATERBORO,ME  ,4061,http://pbs.org,TRUE
Judy,Lee,f ,Judy.J.Lee@dodgit.com,100 OAKS DR,BIRMINGHAM,AL  ,35209,http://cars.com,FALSE
Joseph,Aube,m ,Joseph.C.Aube@dodgit.com,100 STONEWALL PATH,GEORGETOWN,KY  ,40324,http://tagged.com,TRUE
Daniel,Boling,m ,Daniel.D.Boling@trashymail.com,1 EXCHANGE PL # 1563 # 3429,JERSEY CITY,NJ  ,7302,http://softonic.com,FALSE
Raymond,Walters,m ,Raymond.C.Walters@pookmail.com,1 GREENWICH PL,SHELTON,CT  ,6484,http://chacha.com,FALSE
Claudia,Crum,f ,Claudia.A.Crum@mailinator.com,100 CALLE VADI,MAYAGUEZ,PR  ,680,http://filestube.com,TRUE
Theresa,Turnage,f ,Theresa.W.Turnage@pookmail.com,10 ROCK WAY CV,AUSTIN,TX  ,78746,http://speedtest.net,FALSE
Amanda,Insley,f ,Amanda.S.Insley@spambob.com,100 1ST ST SW RM 312,MINOT,ND  ,58701,http://nbcsports.com,FALSE
Emily,Davis,f ,Emily.V.Davis@trashymail.com,10S472 ECHO LN APT 7,WILLOWBROOK,IL  ,60527,http://ezinearticles.com,TRUE
Louis,Vaughn,m ,Louis.S.Vaughn@trashymail.com,106 JACKSON SUMMIT RD W,GLOVERSVILLE,NY  ,12078,http://verizon.com,TRUE
Dale,Castellanos,m ,Dale.M.Castellanos@spambob.com,1001 HOLLYS LN,RIVERSIDE,AL  ,35135,http://latimes.com,FALSE
Jeffrey,Carroll,m ,Jeffrey.J.Carroll@mailinator.com,10442 S 360 E,SANDY,UT  ,84070,http://live.com,FALSE
Ruben,Pham,m ,Ruben.S.Pham@spambob.com,108 W FAYETTE ST STE 1400,SYRACUSE,NY  ,13202,http://filestube.com,TRUE
Louis,Chancy,m ,Louis.M.Chancy@trashymail.com,1021 GRAND ST APT 3F,HOBOKEN,NJ  ,7030,http://thepiratebay.se,TRUE
Carla,Lemen,f ,Carla.M.Lemen@mailinator.com,101 NICHOLS ST,DUTTON,AL  ,35744,http://kat.ph,TRUE
John,Alley,m ,John.A.Alley@mailinator.com,10498 CASA LINDA,OKLAHOMA CITY,OK  ,73139,http://speedtest.net,FALSE
Anthony,Quillen,m ,Anthony.T.Quillen@mailinator.com,102 ROSE AVE,HEMPSTEAD,NY  ,11550,http://chacha.com,FALSE
Sharon,Baker,f ,Sharon.C.Baker@mailinator.com,10433 HIGH HOLLOWS DR APT 117,DALLAS,TX  ,75230,http://softonic.com,FALSE
Greg,May,m ,Greg.V.May@dodgit.com,1034 CLINTON ST APT 204 # 2168,HOBOKEN,NJ  ,7030,http://dailymail.co.uk,FALSE
Alonzo,Collins,m ,Alonzo.G.Collins@trashymail.com,107 PENFIELD PL,HOMEWOOD,PA  ,15208,http://nbcsports.com,FALSE
Alvin,Malone,m ,Alvin.J.Malone@mailinator.com,10027 SPICE LN APT 803,HOUSTON,TX  ,77072,http://real.com,FALSE
Brooke,Bowerman,f ,Brooke.D.Bowerman@spambob.com,10101 EDISON ST,CHINO,CA  ,91710,http://ford.com,TRUE
Latisha,Oliver,f ,Latisha.T.Oliver@pookmail.com,101 ROUTE 130 S STE 321,CINNAMINSON,NJ  ,8077,http://wikispaces.com,TRUE
Robert,Rubin,m ,Robert.C.Rubin@mailinator.com,1066 E AVE NW,CEDAR RAPIDS,IA  ,52405,http://pbs.org,TRUE
Susan,Clow,f ,Susan.M.Clow@dodgit.com,1024 E TONYA DR,CLINTON,IN  ,47842,http://gamespot.com,TRUE
